Origin,Destination,Passengers,Airtime
MSN,ORD,5145,1584
BOS,IAH,12031,20213
LAX,ORD,41998,47667
ORD,DTW,2218,1074
IAH,SMF,6888,12389
MSY,EWR,9816,13174
SFO,LAS,29561,14723
ONT,DEN,3592,2870
EGE,ORD,2539,3595
ORD,PSP,3487,8668
PHL,MSP,140,138
CLT,DEN,1384,2408
DEN,PHL,8768,9303
ORD,RIC,2167,2272
RDU,FLL,142,93
MSY,IAH,25238,12210
IAD,MSY,2553,3611
ORD,RDU,2444,2240
LAX,COS,145,128
ORD,SMF,6401,13543
ORF,IAH,1053,2582
SFO,CMH,146,258
STL,DEN,146,117
BWI,STL,146,129
CMH,CLE,146,29
IAD,BDL,6423,3113
PWM,EWR,2053,1138
CMH,ORD,3906,2244
DEN,RSW,4676,5592
EWR,LAX,43614,85689
ORD,SRQ,5846,7406
SMF,RNO,149,38
CLE,LAX,7195,14661
MTJ,SWF,150,218
SWF,EWR,150,19
DEN,TPA,10209,11250
SFO,KOA,11434,25387
DCA,BTR,152,131
FSD,DEN,3529,2057
ELP,IAH,746,900
HNL,SFO,25544,29031
MIA,FLL,156,11
SEA,IAD,6668,12226
AUS,IAD,1590,1927
EWR,SFO,48495,104365
SMF,IAH,7162,10316
BGR,EWR,158,70
PBI,EWR,24459,26678
ATL,LAX,1933,2077
LAX,LAS,15178,5110
SLC,IAH,10468,12305
FLL,IAD,8017,6672
EWR,IAH,36819,47680
DEN,AUS,11756,8398
EWR,ATL,13729,14118
IAD,BOS,11835,5938
LAS,PHX,334,103
MCO,AUS,164,156
PHX,IAH,17898,16249
ORD,MCO,31357,24324
AUS,IAH,23365,6506
MCO,IAD,19191,12037
ORD,DFW,14717,17399
LAX,CLE,7765,11077
MEM,DEN,166,265
ORD,FSD,166,77
SFO,SLC,1968,1218
ATL,BOS,864,374
EWR,PBI,25376,29048
IAH,JAC,677,1440
IAH,ORF,1059,1921
LAX,RNO,167,134
CVG,IAH,167,265
DEN,FSD,3073,1701
EWR,SLC,5152,12574
LAS,LAX,15042,5507
SAN,DEN,17353,12115
DEN,SJC,9661,9760
IAH,COS,168,153
EWR,LAS,23571,48264
AUS,DEN,12027,8925
DEN,SAN,18087,14216
LAS,BFF,172,108
BFF,DEN,172,35
JAX,DEN,3112,5879
LGA,DEN,20105,39522
ORD,SAV,1374,1512
MCO,DEN,16488,21918
SAV,ORD,1341,1779
DEN,MCO,16338,17982
IAD,PHX,3962,8338
IAH,SEA,12195,24968
ORD,AUS,7868,9660
IAH,OKC,807,531
BOS,DEN,16422,27519
EWR,BTV,2146,1301
EWR,TPA,19711,19883
LAX,EWR,44920,64507
MIA,SFO,3837,10127
LAX,ATL,729,870
RNO,LAX,183,124
BTV,EWR,2857,1392
DEN,EWR,25935,31234
SAT,EWR,1392,2700
SLC,EWR,4806,9322
JAC,IAH,760,1251
ORD,CMH,6231,2471
PIT,EWR,1773,1267
DFW,EWR,8123,11893
IND,IAH,189,253
CVG,SFO,1640,7533
EWR,DFW,8225,15926
IAH,PDX,8277,14706
OGG,LAX,7765,16063
CLE,IAH,6318,11386
DEN,LAX,32994,20787
IAH,TUS,4673,6056
CRP,IAH,518,379
OKC,IAH,945,605
SFO,EUG,1693,1789
ATL,IAH,1592,1586
CLE,FLL,4136,4223
IAH,ELP,758,984
SFO,DEN,38511,26000
RDU,SFO,4973,16612
SFO,ORD,41060,48526
RIC,DEN,1280,3339
IAD,MIA,3519,3684
IAD,SJC,212,351
IAH,STL,994,1069
ORD,EGE,2304,4449
BNA,ORD,3342,2933
RDU,IAD,5879,2414
IAD,LAX,20299,42126
PBI,ORD,1542,2461
FLL,CLE,4106,3853
LAX,DFW,220,295
TUS,IAH,6200,6429
BDL,IAD,6865,3758
DFW,LAX,222,370
ORD,BWI,11020,6393
